* Created by program: fequtl
* Version:   5.99 Version date: 13 July 2010          Date/time of run: 2010/10/17: 17.19.27.302

; Source code repository location and revision are:
;     URL: http://www.iqdotdt.com/svn/usf/trunk/fequtl/fequtl.for
;     Rev: 1074
 

;  Report on executable:
;      Operating system is: MS Windows                              
;      Compiler used was: Lahey F95-V 5.70f                       
;      Solution precision: Single                                  
;      Prefetch option used was: No longer applicable.                                                 
TABID= C10
TYPE=  -13 HDATUM=   676.080  CULVERT zrhufd=    0.0000
LABEL= ORCHARD STREET (A-10)    
NHUP=   27
NPFD=   10
HUP     5000-4 1000-3 1500-3 2000-3 2500-3 3000-3 3500-3 4000-3 4370-3 4500-3
FDROP   1734-4 3178-4 4918-4 6490-4 8185-4 9930-4 1206-3 1419-3 1560-3 1608-3
   PFD          Flows for HUP and Proportion of FDROP
 1000-5 1322-3 6527-3 1559-2 2827-2 4119-2 5543-2 6729-2 8000-2 9504-2 1014-1
 4000-5 2637-3 1296-2 3077-2 5530-2 8132-2 1097-1 1346-1 1603-1 1886-1 2018-1
 9000-5 3913-3 1908-2 4532-2 8088-2 1192-1 1612-1 1985-1 2384-1 2746-1 2961-1
 1600-4 5116-3 2485-2 5886-2 1043-1 1537-1 2082-1 2575-1 3106-1 3542-1 3763-1
 2500-4 6209-3 3010-2 7106-2 1249-1 1840-1 2496-1 3101-1 3758-1 4279-1 4484-1
 3600-4 7179-3 3473-2 8166-2 1425-1 2098-1 2846-1 3551-1 4318-1 4957-1 5181-1
 4900-4 8004-3 3866-2 9046-2 1565-1 2304-1 3129-1 3913-1 4772-1 5491-1 5752-1
 6400-4 8653-3 4177-2 9719-2 1670-1 2457-1 3336-1 4182-1 5110-1 5884-1 6169-1
 8100-4 9077-3 4394-2 1016-1 1736-1 2552-1 3465-1 4353-1 5318-1 6127-1 6425-1
 1000-3 9195-3 4500-2 1029-1 1759-1 2583-1 3506-1 4407-1 5385-1 6201-1 6503-1
HUP     5000-3 5500-3 6000-3 6500-3 7000-3 8000-3 8819-3 9000-3 1000-2 1100-2
FDROP   1792-3 1971-3 1542-3 1735-3 1968-3 2658-3 2959-3 3017-3 3457-3 3961-3
   PFD          Flows for HUP and Proportion of FDROP
 1000-5 1335-1 1973-1 2867-1 4499-1 6824-1 1453+0 2383+0 2620+0 4328+0 6120+0
 4000-5 2577-1 3505-1 4508-1 6226-1 8610-1 1654+0 2674+0 2913+0 4414+0 6207+0
 9000-5 3746-1 4912-1 5991-1 7827-1 1036+0 1859+0 2801+0 3039+0 4540+0 6335+0
 1600-4 4841-1 6190-1 7171-1 9276-1 1185+0 2009+0 2951+0 3189+0 4693+0 6493+0
 2500-4 5781-1 7312-1 8349-1 1069+0 1331+0 2179+0 3119+0 3355+0 4862+0 6670+0
 3600-4 6444-1 8215-1 9473-1 1212+0 1483+0 2332+0 3290+0 3529+0 5046+0 6862+0
 4900-4 6780-1 8846-1 1040+0 1329+0 1680+0 2545+0 3467+0 3711+0 5234+0 7064+0
 6400-4 7285-1 8832-1 1107+0 1414+0 1787+0 2674+0 3679+0 3898+0 5426+0 7259+0
 8100-4 7631-1 8969-1 1147+0 1462+0 1840+0 2447+0 3627+0 3943+0 5627+0 7488+0
 1000-3 7734-1 9082-1 1149+0 1460+0 1836+0 2417+0 3622+0 3944+0 5639+0 7536+0
HUP     1200-2 1300-2 1400-2 1500-2 1600-2 1700-2 1800-2
FDROP   4502-3 5045-3 5611-3 6192-3 6773-3 7370-3 7955-3
   PFD          Flows for HUP and Proportion of FDROP
 1000-5 8183+0 1049+1 1302+1 1576+1 1870+1 2184+1 2517+1
 4000-5 8272+0 1058+1 1311+1 1586+1 1880+1 2195+1 2528+1
 9000-5 8405+0 1072+1 1326+1 1601+1 1896+1 2211+1 2544+1
 1600-4 8570+0 1089+1 1343+1 1619+1 1915+1 2231+1 2565+1
 2500-4 8755+0 1108+1 1364+1 1641+1 1938+1 2254+1 2589+1
 3600-4 8956+0 1129+1 1386+1 1664+1 1962+1 2279+1 2616+1
 4900-4 9170+0 1152+1 1409+1 1689+1 1988+1 2307+1 2644+1
 6400-4 9376+0 1174+1 1432+1 1713+1 2013+1 2333+1 2672+1
 8100-4 9616+0 1199+1 1459+1 1741+1 2043+1 2365+1 2705+1
 1000-3 9687+0 1208+1 1471+1 1754+1 2057+1 2380+1 2721+1
; Flow defining minimum head=     0.200
TABID= L10
TYPE=   -6 HDATUM=   681.789  CHANRAT zrhufd=    0.0580
    HEADUP  FREEDROP  LEFT OVERBANK FLOW - ORCHARD STREET (A-10)       
     0.000   0.00000
     0.148   0.12746
     0.177   0.13857
     0.214   0.15291
     0.259   0.17115
     0.315   0.19409
     0.384   0.22269
     0.469   0.25823
     0.572   0.30183
     0.695   0.35350
     0.800   0.39131
     0.931   0.42811
     1.100   0.47325
     1.318   0.53236
     1.537   0.58886
     1.788   0.63702
     2.135   0.70220
     2.629   0.81923
     3.288   0.98604
     3.850   1.06526
     4.525   1.06069
     5.543   1.16831
     6.950   1.34996
     8.886   1.57368
    10.771   1.76671
    12.065   2.63788
    15.000   5.57266
    -1.0
 POINTS ON LINES OF CONSTANT UPSTREAM HEAD
   0.00000     0.000
   1.00000     0.000
   0.00000     0.000
   0.01000     0.046
   0.02000     0.063
   0.03730     0.085
   0.06825     0.111
   0.12181     0.141
   0.21219     0.170
   0.35888     0.193
   0.59909     0.205
   1.00000     0.207
   0.00000     0.000
   0.01000     0.073
   0.02000     0.101
   0.03730     0.136
   0.06825     0.179
   0.12181     0.228
   0.21219     0.277
   0.35888     0.319
   0.59909     0.343
   1.00000     0.348
   0.00000     0.000
   0.01000     0.117
   0.02000     0.164
   0.03730     0.220
   0.06825     0.289
   0.12181     0.369
   0.21219     0.453
   0.35888     0.532
   0.59909     0.572
   1.00000     0.585
   0.00000     0.000
   0.01000     0.188
   0.02000     0.263
   0.03730     0.354
   0.06825     0.469
   0.12181     0.601
   0.21219     0.742
   0.35888     0.855
   0.59909     0.953
   1.00000     0.978
   0.00000     0.000
   0.01000     0.303
   0.02000     0.427
   0.03730     0.576
   0.06825     0.762
   0.12181     0.980
   0.21219     1.215
   0.35888     1.430
   0.59909     1.582
   1.00000     1.632
   0.00000     0.000
   0.01000     0.492
   0.02000     0.695
   0.03730     0.938
   0.06825     1.242
   0.12181     1.601
   0.21219     1.991
   0.35888     2.355
   0.59909     2.622
   1.00000     2.715
   0.00000     0.000
   0.01000     0.803
   0.02000     1.135
   0.03730     1.532
   0.06825     2.031
   0.12181     2.623
   0.21219     3.339
   0.35888     3.884
   0.59909     4.345
   1.00000     4.515
   0.00000     0.000
   0.01000     1.326
   0.02000     1.854
   0.03730     2.501
   0.06825     3.319
   0.12181     4.291
   0.21219     5.362
   0.35888     6.386
   0.59909     7.171
   1.00000     7.472
   0.00000     0.000
   0.01000     2.146
   0.02000     3.019
   0.03730     4.067
   0.06825     5.373
   0.12181     6.916
   0.21219     8.654
   0.35888    10.330
   0.59909    11.636
   1.00000    12.149
   0.00000     0.000
   0.01000     3.369
   0.02000     4.724
   0.03730     6.363
   0.06825     8.407
   0.12181    10.785
   0.21219    13.305
   0.35888    15.556
   0.59909    17.237
   1.00000    17.949
   0.00000     0.000
   0.01000     5.289
   0.02000     7.418
   0.03730    10.002
   0.06825    13.238
   0.12181    17.784
   0.21219    21.100
   0.35888    24.829
   0.59909    27.467
   1.00000    28.409
   0.00000     0.000
   0.01000     8.516
   0.02000    11.952
   0.03730    16.121
   0.06825    21.373
   0.12181    27.624
   0.21219    34.278
   0.35888    40.569
   0.59909    45.207
   1.00000    46.870
   0.00000     0.000
   0.01000    13.969
   0.02000    19.711
   0.03730    26.577
   0.06825    35.247
   0.12181    45.536
   0.21219    56.818
   0.35888    67.536
   0.59909    75.723
   1.00000    78.813
   0.00000     0.000
   0.01000    22.409
   0.02000    31.360
   0.03730    42.285
   0.06825    55.945
   0.12181    71.955
   0.21219    89.159
   0.35888   105.062
   0.59909   117.529
   1.00000   122.538
   0.00000     0.000
   0.01000    35.236
   0.02000    49.462
   0.03730    66.742
   0.06825    88.396
   0.12181   113.903
   0.21219   141.565
   0.35888   167.450
   0.59909   186.670
   1.00000   193.857
   0.00000     0.000
