; Tables of coefficients needed for type 5 flow in culverts.
; Also includes tables for defining the discharge coefficients based
; on rounding/beveling, wingwalls, and projecting entrances. 
TABLE#= 9980
TYPE=  -10
LABEL= Table 6--Cd for culvert in vertical headwall.
hratio   0.0  0.02  0.04  0.06  0.08  0.10  0.14
   1.2  0.40  0.40  0.43  0.44  0.44  0.45  0.45
   1.3  0.42  0.43  0.46  0.47  0.47  0.48  0.48
   1.4  0.44  0.46  0.49  0.50  0.50  0.51  0.51
   1.5  0.46  0.49  0.52  0.53  0.53  0.54  0.54
   1.6  0.47  0.51  0.54  0.55  0.55  0.56  0.56
   1.7  0.48  0.52  0.55  0.57  0.57  0.57  0.57
   1.8  0.49  0.54  0.57  0.58  0.58  0.58  0.58
   1.9  0.50  0.55  0.58  0.59  0.60  0.60  0.60
   2.0  0.51  0.56  0.59  0.60  0.61  0.61  0.62
   2.5  0.54  0.59  0.62  0.64  0.64  0.65  0.66
   3.0  0.55  0.61  0.64  0.66  0.67  0.69  0.70
   3.5  0.57  0.62  0.65  0.67  0.69  0.70  0.71
   4.0  0.58  0.63  0.66  0.68  0.70  0.71  0.72
   5.0  0.59  0.64  0.67  0.69  0.71  0.72  0.73
  15.0  0.59  0.64  0.67  0.69  0.71  0.72  0.73
  -1.0
TABLE#= 9981
TYPE=  -10
LABEL= Table 7--Cd for box culverts with wingwalls
hratio   0.0  30.0  45.0  60.0  75.0  90.0
   1.2  0.40  0.42  0.42  0.41  0.41  0.37
   1.3  0.42  0.44  0.44  0.43  0.42  0.39
   1.4  0.44  0.46  0.46  0.45  0.43  0.41
   1.5  0.46  0.47  0.47  0.46  0.45  0.42
   1.6  0.47  0.49  0.49  0.48  0.46  0.43
   1.7  0.48  0.50  0.50  0.48  0.47  0.44
   1.8  0.49  0.51  0.51  0.50  0.48  0.45
   1.9  0.50  0.52  0.52  0.51  0.49  0.46
   2.0  0.51  0.53  0.53  0.52  0.49  0.46
   2.5  0.54  0.56  0.56  0.54  0.52  0.49
   3.0  0.55  0.58  0.58  0.56  0.54  0.50
   3.5  0.57  0.60  0.60  0.58  0.55  0.52 
   4.0  0.58  0.61  0.61  0.59  0.56  0.53
   5.0  0.59  0.62  0.62  0.60  0.58  0.54
  15.0  0.59  0.62  0.62  0.60  0.58  0.54
  -1.0
TABLE#= 9982
TYPE=   -2
REFL=0.0
    hratio        Cd   Cd for flared entrance pipe culverts
       1.4      0.48
       1.5      0.50
       1.6      0.52
       1.7      0.53
       1.8      0.55
       1.9      0.56
       2.0      0.57
       2.5      0.59
       3.0      0.61
       3.5      0.63
       4.0      0.65
       5.0      0.66
      15.0      0.66
      -1.0
TABLE#= 9983
TYPE=  -10
LABEL= Approximation to Figure 15
L/D      0.0  0.01  0.02  0.03  0.04  0.05  0.06
;Arbitrary extension to permit interpolation for short culverts.
   0.0  -.10  -.10  -.10  -.10  -.10  -.10  -.10
   4.4  -.10  -.10  -.10  -.10  -.10  -.10  -.10
   4.5 -.098 -.098 -.098 -.097 -.096 -.091  0.09
   5.5 -.081 -.078 -.074 -.069 -.056   0.0 0.094
   6.9 -.058 -.049 -.042 -.029   0.0 0.015 0.101
