   - Transect: 1 Date: 12/6/00
IE-22.570.00    75.     6.6     12.4    44.8    12.7    0.00
IF0.00  2       0.00    0.00    0.00    0.00    0.00    0.00
IF225.4 8       0.00    0.00    0.00    0.00    0.00    0.00
IF317.1 10.4    0.00    0.00    0.00    0.00    0.00    0.00
IF319.2 12.4    0.00    0.00    0.00    0.00    0.00    0.00
AS590.  12.4    6.6     12.4    0.00    0.00    0.00    0.00
IF650.  10.     0.00    0.00    0.00    0.00    0.00    0.00
IF700.  8.      0.00    0.00    0.00    0.00    0.00    0.00
IF3500. 10.4    6.6     10.4    0.00    0.00    0.00    0.00
ET


